iter	Logloss
0	0.6791723773
1	0.6676684607
2	0.6583487532
3	0.6508988634
4	0.6448432847
5	0.6396622261
6	0.6357547367
7	0.6326455615
8	0.6298648198
9	0.6276660051
10	0.6256667697
11	0.6241074655
12	0.6227703748
13	0.6216693993
14	0.6206262699
15	0.619806965
16	0.6190906247
17	0.6184419876
18	0.617802867
19	0.6173281872
20	0.6169324585
21	0.6164468447
22	0.6161332545
23	0.6158025117
24	0.6155393928
25	0.6152936886
26	0.6150667829
27	0.6148207606
28	0.614633871
29	0.6144608509
30	0.6143108708
31	0.6141292679
32	0.6140308698
33	0.6138982981
34	0.6137825279
35	0.6136566685
36	0.6135573616
37	0.613470678
38	0.6133826529
39	0.6133079309
40	0.6132223621
41	0.613123686
42	0.6130445125
43	0.6129630366
44	0.612875748
45	0.6128209352
46	0.6127547432
47	0.612705426
48	0.6126461854
49	0.6125921521
50	0.6125415057
51	0.6124860063
52	0.6124188116
53	0.6123730567
54	0.6123247126
55	0.6122820961
56	0.6122476348
57	0.6121957512
58	0.6121576086
59	0.6121097978
60	0.6120820087
61	0.6120415768
62	0.6119892555
63	0.6119514742
64	0.6119072451
65	0.6118742511
66	0.6118463295
67	0.6118179524
68	0.6117830841
69	0.611767003
70	0.6117278726
71	0.6116999401
72	0.6116670057
73	0.6116367875
74	0.6116106445
75	0.6115920621
76	0.6115505168
77	0.6115287118
78	0.6114959565
79	0.6114757868
80	0.6114519503
81	0.611413163
82	0.6113913117
83	0.6113619712
84	0.6113333895
85	0.6113157335
86	0.6112945292
87	0.6112708723
88	0.6112344175
89	0.6112024443
90	0.6111767846
91	0.6111511472
92	0.6111240528
93	0.6110971793
94	0.6110836378
95	0.6110494524
96	0.6110292348
97	0.6110133783
98	0.6109911842
99	0.610975122
100	0.6109619398
101	0.610934377
102	0.6109002337
103	0.6108875739
104	0.6108533659
105	0.6108287804
106	0.6108144239
107	0.6107849453
108	0.6107652893
109	0.6107490459
110	0.6107222737
111	0.6107089426
112	0.6106732882
113	0.6106590544
114	0.6106348981
115	0.610620246
116	0.6105998078
117	0.6105759958
118	0.610553959
119	0.6105388068
120	0.6104963164
121	0.6104719336
122	0.6104480708
123	0.610416426
124	0.6103928225
125	0.6103613895
126	0.6103458682
127	0.6103374741
128	0.6102930341
129	0.6102660753
130	0.6102013679
131	0.6101660712
132	0.6101356577
133	0.6101107046
134	0.6100928115
135	0.6100681232
136	0.6100363047
137	0.6100172883
138	0.6099848377
139	0.6099278588
140	0.6098910774
141	0.6098685426
142	0.6098322264
143	0.6098091403
144	0.6097776733
145	0.6097446553
146	0.609710527
147	0.609693039
148	0.6096782019
149	0.6096321494
150	0.6095870949
151	0.6095747429
152	0.6095480575
153	0.6094820002
154	0.6094557608
155	0.6094407598
156	0.6094092773
157	0.6093757039
158	0.6093508034
159	0.6093159008
160	0.6092845395
161	0.6092442999
162	0.6092184173
163	0.6092088823
164	0.6091720085
165	0.6091529877
166	0.6091281913
167	0.6090991192
168	0.6090729564
169	0.6090499654
170	0.6090323175
171	0.6090109627
172	0.6089830684
173	0.6089539128
174	0.6089152248
175	0.6088894106
176	0.6088729986
177	0.6088456603
178	0.6088164766
179	0.6087906263
180	0.6087689402
181	0.6087461352
182	0.6087099832
183	0.6086776571
184	0.6086471353
185	0.6086180038
186	0.6085817686
187	0.608550317
188	0.6085192096
189	0.6084955237
190	0.6084654199
191	0.608439971
192	0.6084198799
193	0.6083979832
194	0.6083766967
195	0.6083418316
196	0.6083220069
197	0.6082896038
198	0.6082716009
199	0.6082251661
200	0.6082143426
201	0.6081919688
202	0.6081700597
203	0.6081549403
204	0.6081442365
205	0.6081205586
206	0.6080918645
207	0.6080641912
208	0.6080355242
209	0.6080157716
210	0.6079870072
211	0.6079610581
212	0.6079356427
213	0.6079133967
214	0.6078915269
215	0.6078815497
216	0.6078422977
217	0.6078175214
218	0.6077915415
219	0.6077656577
220	0.6077317674
221	0.6077078873
222	0.6076909177
223	0.6076639564
224	0.6076323022
225	0.6076108716
226	0.6075890413
227	0.6075623396
228	0.6075429903
229	0.6075098425
230	0.6074875067
231	0.607463494
232	0.6074360337
233	0.6074075285
234	0.6073800112
235	0.6073674247
236	0.6073517814
237	0.6073242488
238	0.607292718
239	0.6072629353
240	0.6072318692
241	0.6071958634
242	0.6071800857
243	0.6071595501
244	0.6071449366
245	0.6071292216
246	0.6071198572
247	0.6070893916
248	0.6070617057
249	0.6070469638
250	0.6070241836
251	0.6069911388
252	0.6069682294
253	0.6069386498
254	0.6069143124
255	0.6069032948
256	0.6068836202
257	0.6068564448
258	0.6068127856
259	0.6067921839
260	0.6067668286
261	0.6067352811
262	0.6067223153
263	0.6066988337
264	0.6066732401
265	0.6066482419
266	0.606627744
267	0.6066021557
268	0.6065797069
269	0.6065670661
270	0.6065484249
271	0.6065110198
272	0.6064939323
273	0.6064774882
274	0.6064600605
275	0.6064437995
276	0.6064204
277	0.6063951272
278	0.6063778491
279	0.6063554692
280	0.6063386997
281	0.6063111607
282	0.6062908425
283	0.6062693455
284	0.6062496736
285	0.606217601
286	0.6061986485
287	0.606161837
288	0.6061371681
289	0.6061202895
290	0.6060991749
291	0.6060778304
292	0.6060518984
293	0.6060379301
294	0.606024713
295	0.6060007223
296	0.6059849713
297	0.6059605046
298	0.605933921
299	0.6059091098
300	0.6058876565
301	0.6058791253
302	0.6058522745
303	0.6058200217
304	0.6057973906
305	0.6057785187
306	0.6057618926
307	0.6057409202
308	0.6057180272
309	0.6057009127
310	0.6056760327
311	0.6056622299
312	0.6056453888
313	0.6056287688
314	0.6055915688
315	0.6055708862
316	0.6055588961
317	0.6055336787
318	0.6055159163
319	0.605500006
